0 NOL "Lain-Lain"
1 SATU "Lain-Lain"
2 DUA "Lain-Lain"
3 TIGA "Lain-Lain"
4 EMPAT "Lain-Lain"
5 LIMA "Lain-Lain"
6 ENAM "Lain-Lain"
7 TUJUH "Lain-Lain"
8 DELAPAN "Lain-Lain"
9 SEMBILAN "Lain-Lain"
~ TILDE "Lain-Lain"
# HASH "Lain-Lain"
$ DOLLAR "Lain-Lain"
% PERCENTAGE "Lain-Lain"
^ CARET "Lain-Lain"
& AND "Lain-Lain"
* ASTERIX "Lain-Lain"
( KURUNGBUKA "Lain-Lain"
) KURUNGTUTUP "Lain-Lain"
- KURANG "Lain-Lain"
+ TAMBAH "Lain-Lain"
= SAMADENGAN "Lain-Lain"
! TANDASERU "Tanda Baca"
' APHOSTROPH "Tanda Baca"
, KOMA "Tanda Baca"
. TITIK "Tanda Baca"
? TANDATANYA "Tanda Baca"
/ SLASH "Tanda Baca"
\ BACKSLASH "Tanda Baca"
" PETIKDUA "Tanda Baca"
: TITIKDUA "Tanda Baca"
; TITIKKOMA "Tanda Baca"
s dada "saya"
@end
